antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'CME', 'SEP_30', 'SEP_10'})",frozenset({'SEP_60'}),0.3782991202346041,0.4809384164222874,0.2756598240469208,0.7286821705426356,1.5151257326526753,0.09372124422734579,1.9131126937578546,0.5468687274187072
"frozenset({'SEP_60', 'CME'})","frozenset({'SEP_30', 'SEP_10'})",0.2756598240469208,0.6510263929618768,0.2756598240469208,1.0,1.5360360360360361,0.09619800311314833,inf,0.4817813765182187
"frozenset({'CME', 'SEP_30'})","frozenset({'SEP_60', 'SEP_10'})",0.3782991202346041,0.4809384164222874,0.2756598240469208,0.7286821705426356,1.5151257326526753,0.09372124422734579,1.9131126937578546,0.5468687274187072
"frozenset({'CME', 'SEP_10'})","frozenset({'SEP_60', 'SEP_30'})",0.4662756598240469,0.4809384164222874,0.2756598240469208,0.5911949685534591,1.2292529529068874,0.05140994659488651,1.2697044890593276,0.3494271685761047
frozenset({'CME'}),"frozenset({'SEP_60', 'SEP_30', 'SEP_10'})",0.5513196480938416,0.4809384164222874,0.2756598240469208,0.5,1.0396341463414633,0.010509025550175854,1.0381231671554252,0.0849673202614378
"frozenset({'CME', 'SEP_30', 'SEP_10'})",frozenset({'SEP_100'}),0.3782991202346041,0.34017595307917886,0.17888563049853373,0.4728682170542636,1.3900695001336543,0.05019736672371242,1.2517250301880283,0.4513609650479434
"frozenset({'CME', 'SEP_30', 'SEP_100'})",frozenset({'SEP_10'}),0.17888563049853373,0.8973607038123167,0.17888563049853373,1.0,1.1143790849673203,0.018360695212459477,inf,0.12500000000000003
"frozenset({'CME', 'SEP_10', 'SEP_100'})",frozenset({'SEP_30'}),0.17888563049853373,0.6510263929618768,0.17888563049853373,1.0,1.5360360360360361,0.06242636372236221,inf,0.425
"frozenset({'CME', 'SEP_30'})","frozenset({'SEP_100', 'SEP_10'})",0.3782991202346041,0.34017595307917886,0.17888563049853373,0.4728682170542636,1.3900695001336543,0.05019736672371242,1.2517250301880283,0.4513609650479434
"frozenset({'CME', 'SEP_10'})","frozenset({'SEP_100', 'SEP_30'})",0.4662756598240469,0.34017595307917886,0.17888563049853373,0.3836477987421384,1.127792235957493,0.02026986352026558,1.0705308516368426,0.21230408935326986
"frozenset({'CME', 'SEP_100'})","frozenset({'SEP_30', 'SEP_10'})",0.17888563049853373,0.6510263929618768,0.17888563049853373,1.0,1.5360360360360361,0.06242636372236221,inf,0.425
"frozenset({'SEP_60', 'CME', 'SEP_10'})",frozenset({'SEP_100'}),0.2756598240469208,0.34017595307917886,0.17888563049853373,0.6489361702127661,1.9076485693323555,0.08511278712773371,1.8794988003199156,0.6568659985398555
"frozenset({'SEP_60', 'CME', 'SEP_100'})",frozenset({'SEP_10'}),0.17888563049853373,0.8973607038123167,0.17888563049853373,1.0,1.1143790849673203,0.018360695212459477,inf,0.12500000000000003
"frozenset({'CME', 'SEP_10', 'SEP_100'})",frozenset({'SEP_60'}),0.17888563049853373,0.4809384164222874,0.17888563049853373,1.0,2.0792682926829267,0.09285265864586648,inf,0.6321428571428571
"frozenset({'SEP_60', 'CME'})","frozenset({'SEP_100', 'SEP_10'})",0.2756598240469208,0.34017595307917886,0.17888563049853373,0.6489361702127661,1.9076485693323555,0.08511278712773371,1.8794988003199156,0.6568659985398555
"frozenset({'CME', 'SEP_10'})","frozenset({'SEP_60', 'SEP_100'})",0.4662756598240469,0.34017595307917886,0.17888563049853373,0.3836477987421384,1.127792235957493,0.02026986352026558,1.0705308516368426,0.21230408935326986
"frozenset({'CME', 'SEP_100'})","frozenset({'SEP_60', 'SEP_10'})",0.17888563049853373,0.4809384164222874,0.17888563049853373,1.0,2.0792682926829267,0.09285265864586648,inf,0.6321428571428571
"frozenset({'SEP_60', 'CME', 'SEP_30'})",frozenset({'SEP_100'}),0.2756598240469208,0.34017595307917886,0.17888563049853373,0.6489361702127661,1.9076485693323555,0.08511278712773371,1.8794988003199156,0.6568659985398555
"frozenset({'SEP_60', 'CME', 'SEP_100'})",frozenset({'SEP_30'}),0.17888563049853373,0.6510263929618768,0.17888563049853373,1.0,1.5360360360360361,0.06242636372236221,inf,0.425
"frozenset({'CME', 'SEP_30', 'SEP_100'})",frozenset({'SEP_60'}),0.17888563049853373,0.4809384164222874,0.17888563049853373,1.0,2.0792682926829267,0.09285265864586648,inf,0.6321428571428571
"frozenset({'SEP_60', 'CME'})","frozenset({'SEP_100', 'SEP_30'})",0.2756598240469208,0.34017595307917886,0.17888563049853373,0.6489361702127661,1.9076485693323555,0.08511278712773371,1.8794988003199156,0.6568659985398555
"frozenset({'CME', 'SEP_30'})","frozenset({'SEP_60', 'SEP_100'})",0.3782991202346041,0.34017595307917886,0.17888563049853373,0.4728682170542636,1.3900695001336543,0.05019736672371242,1.2517250301880283,0.4513609650479434
"frozenset({'CME', 'SEP_100'})","frozenset({'SEP_60', 'SEP_30'})",0.17888563049853373,0.4809384164222874,0.17888563049853373,1.0,2.0792682926829267,0.09285265864586648,inf,0.6321428571428571
"frozenset({'SEP_60', 'SEP_30', 'SEP_10'})",frozenset({'SEP_100'}),0.4809384164222874,0.34017595307917886,0.34017595307917886,0.7073170731707317,2.0792682926829267,0.17657226890033623,2.254398826979472,1.0
